Sniffer Network Analyzer data from 5-Sep-91 at 09:06:16, file C:\CAPTURE\TEST2.ENC, Page 1


SUMMARY  Delta T  Size     Destination   Source        Summary
   338    0.0006    60  superfly     blue          NCP R OK
   339    0.0058   128  blue         superfly      NCP C F=4218 Write 64 at 9600
   340    0.0005    60  superfly     blue          NCP R OK
   341    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 9664
   342    0.0005    60  superfly     blue          NCP R OK
   343    0.0060   128  blue         superfly      NCP C F=4218 Write 64 at 9728
Sniffer Network Analyzer data from 5-Sep-91 at 09:06:16, file C:\CAPTURE\TEST2.ENC, Page 8


SUMMARY  Delta T  Size     Destination   Source        Summary

   344    0.0006    60  superfly     blue          NCP R OK
   345    0.0042   128  blue         superfly      NCP C F=4218 Write 64 at 9792
   346    0.0005    60  superfly     blue          NCP R OK
   347    0.0054   128  blue         superfly      NCP C F=4218 Write 64 at 9856
   348    0.0006    60  superfly     blue          NCP R OK
   349    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 9920
   350    0.0006    60  superfly     blue          NCP R OK
   351    0.0055   128  blue         superfly      NCP C F=4218 Write 64 at 9984
   352    0.0005    60  superfly     blue          NCP R OK
   353    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 10048
   354    0.0005    60  superfly     blue          NCP R OK
   355    0.0055   128  blue         superfly      NCP C F=4218 Write 64 at 10112
   356    0.0005    60  superfly     blue          NCP R OK
   357    0.0042   128  blue         superfly      NCP C F=4218 Write 64 at 10176
   358    0.0006    60  superfly     blue          NCP R OK
   359    0.0062   128  blue         superfly      NCP C F=4218 Write 64 at 10240
   360    0.0006    60  superfly     blue          NCP R OK
   361    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 10304
   362    0.0006    60  superfly     blue          NCP R OK
   363    0.0054   128  blue         superfly      NCP C F=4218 Write 64 at 10368
   364    0.0005    60  superfly     blue          NCP R OK
   365    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 10432
   366    0.0006    60  superfly     blue          NCP R OK
   367    0.0055   128  blue         superfly      NCP C F=4218 Write 64 at 10496
   368    0.0006    60  superfly     blue          NCP R OK
   369    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 10560
   370    0.0006    60  superfly     blue          NCP R OK
   371    0.0056   128  blue         superfly      NCP C F=4218 Write 64 at 10624
   372    0.0006    60  superfly     blue          NCP R OK
   373    0.0042   128  blue         superfly      NCP C F=4218 Write 64 at 10688
   374    0.0006    60  superfly     blue          NCP R OK
   375    0.0059   128  blue         superfly      NCP C F=4218 Write 64 at 10752
   376    0.0005    60  superfly     blue          NCP R OK
   377    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 10816
   378    0.0005    60  superfly     blue          NCP R OK
   379    0.0056   128  blue         superfly      NCP C F=4218 Write 64 at 10880
   380    0.0006    60  superfly     blue          NCP R OK
   381    0.0040   128  blue         superfly      NCP C F=4218 Write 64 at 10944
   382    0.0005    60  superfly     blue          NCP R OK
   383    0.0054   128  blue         superfly      NCP C F=4218 Write 64 at 11008
   384    0.0006    60  superfly     blue          NCP R OK
   385    0.0042   128  blue         superfly      NCP C F=4218 Write 64 at 11072
   386    0.0006    60  superfly     blue          NCP R OK
   387    0.0056   128  blue         superfly      NCP C F=4218 Write 64 at 11136
   388    0.0006    60  superfly     blue          NCP R OK
   389    0.0040   128  blue         superfly      NCP C F=4218 Write 64 at 11200
   390    0.0006    60  superfly     blue          NCP R OK
   391    0.0060   128  blue         superfly      NCP C F=4218 Write 64 at 11264
   392    0.0005    60  superfly     blue          NCP R OK
Sniffer Network Analyzer data from 5-Sep-91 at 09:06:16, file C:\CAPTURE\TEST2.ENC, Page 9


SUMMARY  Delta T  Size     Destination   Source        Summary

   393    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 11328
   394    0.0006    60  superfly     blue          NCP R OK
   395    0.0055   128  blue         superfly      NCP C F=4218 Write 64 at 11392
   396    0.0006    60  superfly     blue          NCP R OK
   397    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 11456
   398    0.0006    60  superfly     blue          NCP R OK
   399    0.0055   128  blue         superfly      NCP C F=4218 Write 64 at 11520
   400    0.0006    60  superfly     blue          NCP R OK
   401    0.0042   128  blue         superfly      NCP C F=4218 Write 64 at 11584
   402    0.0005    60  superfly     blue          NCP R OK
   403    0.0056   128  blue         superfly      NCP C F=4218 Write 64 at 11648
   404    0.0006    60  superfly     blue          NCP R OK
   405    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 11712
   406    0.0006    60  superfly     blue          NCP R OK
   407    0.0236   128  blue         superfly      NCP C F=4218 Write 64 at 11776
   408    0.0006    60  superfly     blue          NCP R OK
   409    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 11840
   410    0.0605    60  superfly     blue          NCP R OK
   411    0.0055   128  blue         superfly      NCP C F=4218 Write 64 at 11904
   412    0.0006    60  superfly     blue          NCP R OK
   413    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 11968
   414    0.0005    60  superfly     blue          NCP R OK
   415    0.0054   128  blue         superfly      NCP C F=4218 Write 64 at 12032
   416    0.0006    60  superfly     blue          NCP R OK
   417    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 12096
   418    0.0005    60  superfly     blue          NCP R OK
   419    0.0056   128  blue         superfly      NCP C F=4218 Write 64 at 12160
   420    0.0005    60  superfly     blue          NCP R OK
   421    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 12224
   422    0.0006    60  superfly     blue          NCP R OK
   423    0.0062   128  blue         superfly      NCP C F=4218 Write 64 at 12288
   424    0.0006    60  superfly     blue          NCP R OK
   425    0.0041   128  blue         superfly      NCP C F=4218 Write 64 at 12352
   426    0.0007    60  superfly     blue          NCP R OK
   427    0.0076    64  blue         superfly      NCP C F=D21A Read 736 at 528672
   428    0.0014   790  superfly     blue          NCP R OK 736 bytes read
   429    0.0011    64  blue         superfly      NCP C F=D21A Read 1024 at 529408
